,x,y,city,region
0,11.26948211789769,24.80562144361251,Aalborg,Europe
1,48.189002467237515,66.66600070307868,Aarhus,Europe
2,-97.49961247713635,-25.349142995428764,Aberdeenshire,Europe
3,59.92673016561862,-21.03894215436615,Acquappesa,Europe
4,-58.05367799217464,41.13427893171114,Adelaide,East Asia and the Pacific
5,-17.187430442215664,87.16575907163147,Alameda,North America
6,54.59387907116728,-84.83237491025606,Albairate,Europe
7,13.235026155835603,83.95908974901934,Albany,North America
8,8.837394316534436,-25.181590425999467,Albertslund,Europe
9,13.297188584974249,-75.16266929250574,Alessano,Europe
10,32.019133525579015,88.55182256385987,Amman,Middle East and North Africa
11,-85.52448370479823,2.9530621692687036,Amsterdam,Europe
12,38.059580553576744,-84.67213484590411,Andrano,Europe
13,-32.15583251628133,76.70272628561915,Ann Arbor,North America
14,-61.386621101211254,50.0622514041006,Arlington,North America
15,98.88676541833863,-17.581155905860633,Arzana,Europe
16,23.158260824593683,76.17620607805156,Asheville,North America
17,-97.37869002879556,32.979679008728915,Aspen,North America
18,-33.16644456354245,3.958941998211433,Asse,Europe
19,-75.63809695232781,57.23947903300634,Atlanta,North America
20,-105.08630005089405,21.277435123282128,Auckland,East Asia and the Pacific
21,-29.307142422861435,95.19704264398842,Austin,North America
22,79.10179253680619,-61.107197307042085,Averara,Europe
23,-63.41977357042847,26.326945458323063,BCP Council,Europe
24,95.15816513576428,27.30131144686669,Bagnoli di Sopra,Europe
25,85.1084004061809,-28.957727748173355,Bagnolo San Vito,Europe
26,-53.21811135963313,-70.71105019009134,Balones,Europe
27,44.076435544390606,-85.79133001429231,Balsareny,Europe
28,-4.931518604316548,-76.5204062176956,Balti,Eastern Europe and Central Asia
29,56.59090013906737,66.28397337197002,Barcelona,Europe
30,89.61906268734413,-8.632250693103337,Basso Sulcis,Europe
31,-96.65613253190726,10.752147278133936,Bath & North East Somerset,Europe
32,-42.388099377382716,-84.08386870358608,Beersel,Europe
33,75.93224961739219,19.36654242902001,Belfiore,Europe
34,-97.30327580416348,-6.968939844307828,Belo Horizonte,Latin America and Caribbean
35,85.03217794594613,-4.711641012740662,Belvì,Europe
36,-50.116781062490176,-65.55626602897644,Beniardà,Europe
37,-72.08728014965841,50.38569673713699,Berkeley,North America
38,20.636299962489854,36.76601617181678,Berlin,Europe
39,-33.64330188403295,-15.612390222832138,Bila Tserkva,Eastern Europe and Central Asia
40,-4.49873890402833,32.22365109306469,Birmingham,Europe
41,-0.8866653544978212,63.424736720995995,Blacksburg,North America
42,77.78419069113001,2.3772656186888206,Bolzano,Europe
43,-27.864622757716607,22.28628160190205,Bornova,Eastern Europe and Central Asia
44,-40.12722455274288,62.99770594049319,Boston,North America
45,-36.73354018852472,85.78178638500735,Boulder County,North America
46,-85.83121239820842,54.485128785252975,Boulder,North America
47,82.10704496674886,-59.24882175141047,Bracca,Europe
48,-18.124499860427356,-25.534554621324222,Braslau,Eastern Europe and Central Asia
49,-38.484645390225374,-88.13114260180369,Breda,Europe
50,-58.3686586377551,55.06299553717532,Bristol,Europe
51,28.794795428663512,6.22233992055602,Brugge,Europe
52,50.31549705436696,43.987777866783595,Budapest,Europe
53,65.16571880063596,79.09337632196704,Buenos Aires,Latin America and Caribbean
54,-58.53735876635845,80.31064163669477,Burlingame,North America
55,9.306034367249724,102.96184290568468,Burlington,North America
56,45.86804788995471,53.72701132894776,Bursa,Eastern Europe and Central Asia
57,-82.30531772343582,20.66659388135717,Byron Shire,East Asia and the Pacific
58,83.34948100621206,43.77609536413098,Cajnice,Eastern Europe and Central Asia
59,-5.57847549050896,100.8142234374014,Calgary,North America
60,-79.75623384272836,33.75550002256377,Cambridge,North America
61,-88.90216595310007,-26.7384588666001,Cape Town,Sub-Saharan Africa
62,75.74269189891822,-64.66414291756307,Carona,Europe
63,92.45864644268178,27.36678834055883,Cartura,Europe
64,95.23275789459527,24.781653577797893,Casalserugo,Europe
65,56.867677715322245,-13.166587175494254,Cervia,Europe
66,-53.3393173192162,70.18666213768815,Charlotte,North America
67,49.630740063828455,-65.17839556064115,Cheremule,Europe
68,4.681857215918273,67.64863554915678,Chicago,North America
69,-13.368130678003565,97.80364181296915,Cincinnati,North America
70,-19.148305297901356,-72.96851557261147,Cleveland,North America
71,-21.638133093847113,95.71950338990885,Columbia,North America
72,-1.0706355568959807,99.9773931327395,Columbus,North America
73,51.69193087618972,18.862990296624485,Commune de Paliseul,Europe
74,91.89444421947402,-3.704300574645138,Comunità pioniera di Arborea,Europe
75,-43.83947464341606,15.791707085681868,Copenhagen,Europe
76,17.776352886996463,-82.726311782416,Corsano,Europe
77,-96.13891786349946,23.024606266100413,Cupertino,North America
78,-14.773191353699847,93.48743135427142,Dallas,North America
79,14.585489788720242,91.27695149217207,Davis,North America
80,-44.92933851041269,-31.234511012167992,Delft,Europe
81,-84.29838346980203,48.04889037321271,Denver,North America
82,1.880092593190934,-10.3224531574461,Dilbeek,Europe
83,76.00065422854942,-59.4356743877667,Dossena,Europe
84,-31.629791232916983,92.49377916477656,Dublin,Europe
85,6.938334283832053,51.06376555429197,Dundee,Europe
86,-41.4004226590617,38.54482589250472,Durban,Sub-Saharan Africa
87,48.41643168202596,17.0336645306231,Durbuy,Europe
88,-59.22178468364088,-63.035473991876735,Dénia,Europe
89,-18.03329240831879,66.76130485592566,Eau Claire,North America
90,44.98803913751483,88.61029562639328,Edina,North America
91,-85.05783879251814,-15.687287446680019,Edmonton,North America
92,-94.56284324750472,-44.696113028882216,Eilat ISRAEL,Middle East and North Africa
