,No Target,Target,accuracy,macro avg,weighted avg
precision,1.0,0.8768115942028986,0.8930817610062893,0.9384057971014492,0.906252848418558
recall,0.5526315789473685,1.0,0.8930817610062893,0.7763157894736843,0.8930817610062893
f1-score,0.711864406779661,0.9343629343629344,0.8930817610062893,0.8231136705712977,0.8811871856323407
support,76.0,242.0,0.8930817610062893,318.0,318.0
