,No Target,Target,accuracy,macro avg,weighted avg
precision,0.7783251231527094,0.8956521739130435,0.8207547169811321,0.8369886485328765,0.8329301656449403
recall,0.9294117647058824,0.6959459459459459,0.8207547169811321,0.8126788553259141,0.8207547169811321
f1-score,0.8471849865951743,0.7832699619771863,0.8207547169811321,0.8152274742861803,0.817438371364161
support,170.0,148.0,0.8207547169811321,318.0,318.0
