name,entity_type,country,iso,population,area,state,admin_1,initiatives_committed,lat,lng,region,baseline_emissions,baseline_year
"Austin, TX",City,United States of America,USA,1265974,704,Texas,"Travis County, TX",Carbonn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;C40Cities2019;Under2Coalition2019;WeAreStillIn2019;CDPCities2018;NAZCA,30.26666667,-97.73333333,North America,NA,NA
Adelaide,City,Australia,AUS,23916,3257.7,South Australia,NA,Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,-34.92888889,138.6011111,East Asia and the Pacific,NA,NA
Manchester,City,United Kingdom,GBR,2798800,1277,Greater Manchester,NA,CDPCities2018;EUCovenantofMayors2019;NAZCA,53.4576,-2.15783,Europe,3269000,2005
Cape Town,City,South Africa,ZAF,4012441,2445,Western Cape,NA,Carbonn2019;CDPCities2018;GlobalCovenantofMayors2019;C40Cities2019;NAZCA,-33.92527778,18.42388889,Sub-Saharan Africa,NA,NA
"Knoxville, TN",City,United States of America,USA,186239,269.876958,Tennessee,"Knox County, TN",CDPCities2018;Carbonn2019;GlobalCovenantofMayors2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;NAZCA,35.9606,-83.9207,North America,4201700,2005
"Hayward, CA",City,United States of America,USA,158985,165.2931618,California,"Alameda County, CA",CDPCities2018;GlobalCovenantofMayors2019;Carbonn2019;ClimateMayors;NAZCA,37.6689,-122.081,North America,1154088,2005
Lisbon,City,Portugal,PRT,547733,100.05,NA,NA,GlobalCovenantofMayors2019;Carbonn2019;EUCovenantofMayors2019;C40Cities2019;CDPCities2018;NAZCA,38.7077926,-9.136506,Europe,3757705,2002
"Columbus, OH",City,United States of America,USA,860090,562.4681283,Ohio,"Delaware County, OH; Fairfield County, OH; Franklin County, OH",ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;Carbonn2019;NAZCA,39.983333,-82.983333,North America,NA,NA
"Denver, CO",City,United States of America,USA,682545,397.1231667,Colorado,"Denver County, CO",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;CDPCities2018;GlobalCovenantofMayors2019;NAZCA,39.76194444,-104.8811111,North America,13250423,2005
"Sarasota, FL",City,United States of America,USA,55181,65.29365,Florida,"Sarasota County, FL",ClimateMayors;NAZCA,27.337222,-82.535278,North America,NA,NA
Tainan,City,Taiwan,TWN,1885252,2191.64,Tainan City,NA,Carbonn2019;GlobalCovenantofMayors2019,22.98333,120.1833,East Asia and the Pacific,19510422,2005
Greater Manchester,City,United Kingdom,GBR,2700000,1276,NA,United Kingdom,Under2Coalition2019;GlobalCovenantofMayors2019;Carbonn2019;NAZCA,53.5,-2.316666667,Europe,21200000,1990
Barcelona,City,Spain,ESP,1608746,101.4,Barcelona Province,BarcelonÃ¨s,GlobalCovenantofMayors2019;EUCovenantofMayors2019;Carbonn2019;CDPCities2018;C40Cities2019;NAZCA,41.3825596,2.1771353,Europe,2164000,2008
"San José, CA",City,United States of America,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cincinnati, OH",City,United States of America,USA,298550,206.01,Ohio,"Hamilton County, OH",GlobalCovenantofMayors2019;WeAreStillIn2019;CDPCities2018;ClimateMayors;WeAreStillIn2019;Carbonn2019;NAZCA,39.103118,-84.51202,North America,9300000,2006
"St. Catharines, ON",City,Canada,CAN,131400,378.68,Ontario,Niagara,CDPCities2018;GlobalCovenantofMayors2019;NAZCA,43.1594,-79.2469,North America,NA,1990
"Vancouver, BC",City,Canada,CAN,605000,114.97,British Columbia,Lower Mainland,Under2Coalition2019;Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;C40Cities2019;NAZCA,49.25,-123.1,North America,2765000,2007
"Flagstaff, AZ",City,United States of America,USA,71459,167.6759526,Arizona,"Coconino County, AZ",ClimateMayors;Carbonn2019;CDPCities2018;GlobalCovenantofMayors2019;NAZCA,35.199167,-111.631111,North America,826270.2,2016
"Edina, MN",City,United States of America,USA,51958,3.3928869,Minnesota,"Hennepin County, MN",ClimateMayors,44.895556,-93.354722,North America,NA,NA
Saskatoon,City,Canada,CAN,272200,NA,NA,NA,ICLEI - Local Governments for Sustainability;CDPCities2018-2019;CDPCities2019,52.1332,-106.67,North America,3852171,2014
"Orlando, FL",City,United States of America,USA,269193,1690.3,Florida,"Orange County, FL",WeAreStillIn2019;GlobalCovenantofMayors2019;Under2Coalition2019;ClimateMayors;WeAreStillIn2019;NAZCA,28.54,-81.38,North America,NA,NA
Guelph,City,Canada,CAN,131794,NA,NA,NA,CDP Matchmaker;WWF's One Planet city Challenge 2019 - Unconfirmed countries;ICLEI - Local Governments for Sustainability;WWF;Race to Zero;GCoMCDP2020;CDPCities2018-2019;CDPCities2019;NAZCA2020,43.55,80.25,North America,1156679,2016
Umeå,City,Sweden,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blacksburg, VA",City,United States of America,USA,44563,51.0746028,Virginia,"Montgomery County, VA",GlobalCovenantofMayors2019;Carbonn2019;CDPCities2018;ClimateMayors;NAZCA,37.2296566,-80.4136766,North America,276411,1990
"Atlanta, GA",City,United States of America,USA,450182,5084.15037,Georgia,"Fulton County, GA",GlobalCovenantofMayors2019;ClimateMayors;WeAreStillIn2019;CDPCities2018;WeAreStillIn2019;Under2Coalition2019;Carbonn2019;NAZCA,33.7490987,-84.3901848,North America,NA,2009
"Berkeley, CA",City,United States of America,USA,122234,27.1171953,California,"Alameda County, CA",ClimateMayors;WeAreStillIn2019;Carbonn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;NAZCA,37.871667,-122.272778,North America,728425,2000
Bath & North East Somerset,City,United Kingdom,GBR,169040,351.1249443,Somerset,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019,51.38333333,-2.316666667,Europe,NA,NA
"Cupertino, CA",City,United States of America,USA,60777,29.2927869,California,San Francisco Bay Area,CDPCities2018;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;WeAreStillIn2019;Carbonn2019;NAZCA,37.323,-122.032,North America,307288,2010
"Cambridge, UK",City,United Kingdom,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uppsala,City,Sweden,SWE,217000,2234,Uppland,NA,Carbonn2019;CDPCities2018;NAZCA,59.85806,17.64472,Europe,1446000,1990
"Burlingame, CA",City,United States of America,USA,30301,2.3050911,California,"San Mateo County, CA",ClimateMayors,37.583333,-122.363611,North America,NA,NA
Ljubljana,City,Slovenia,SVN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northampton,City,United Kingdom,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paris,City,France,FRA,2265886,NA,ÃŽle-de-France,NA,CDPCities2018;C40Cities2019;GlobalCovenantofMayors2019;Carbonn2019;EUCovenantofMayors2019;NAZCA,48.8566,2.35222,Europe,815522,2004
"New York City, NY",City,United States of America,USA,8537673,783.8423,New York State,NA,ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;C40Cities2019;Carbonn2019;Under2Coalition2019;NAZCA,40.7127,-74.0059,North America,61062452,2005
"Plymouth, UK",City,United Kingdom,GBR,262100,79.8,NA,NA,ICLEI - Local Governments for Sustainability;Carbonn;Race to Zero;CDPCities2018-2019;CDPCities2019;NAZCA2020,50.371389,-4.142222,Europe,NA,NA
"Kansas City, MO",City,United States of America,USA,470800,826.2845097,Missouri,"Jackson County, MO",ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;NAZCA,39.099722,-94.578333,North America,NA,2000
"St. Louis, MO",City,United States of America,USA,319294,2392.115,Missouri,NA,CDPCities2018;GlobalCovenantofMayors2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;NAZCA,38.627,-90.1994,North America,8081418,2005
Elsinore,City,Denmark,DNK,47364,121.61,Capital Region,NA,CDPCities2018;EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,56.0308,12.5921,Europe,415408,2008
Berlin,City,Germany,DEU,3440000,NA,Federal State of Berlin,NA,C40Cities2019;EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,52.51666667,13.38888889,Europe,29300000,1990
Louisiana,Region,United States of America,USA,4648794,135382,NA,NA,NA,31,-92,North America,215000000,2005
San Carlos,City,Philippines,PHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyndham,City,Australia,AUS,241902,542,Victoria,Western Australia,Carbonn2019;GlobalCovenantofMayors2019;NAZCA,-15.4825,128.1228,East Asia and the Pacific,25956,2014
"New Orleans, LA",City,United States of America,USA,391495,438.7961,Louisiana,NA,C40Cities2019;WeAreStillIn2019;Carbonn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;NAZCA,29.95,-90.08333333,North America,NA,NA
Sydney,City,Australia,AUS,233219,25,New South Wales,Cumberland,Carbonn2019;C40Cities2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,-33.865,151.2094,East Asia and the Pacific,NA,NA
"Providence, RI",City,United States of America,USA,177994,66,Rhode Island,"Providence County, RI",Carbonn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;ClimateMayors;WeAreStillIn2019;CDPCities2018;NAZCA,41.82361111,-71.42222222,North America,NA,NA
"Fort Collins, CO",City,United States of America,USA,167492,144.5732418,Colorado,"Larimer County, CO",ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;WeAreStillIn2019;Carbonn2019;NAZCA,40.559167,-105.078056,North America,2472391,2005
Wollongong,City,Australia,AUS,208875,572.2,New South Wales,Illawarra,Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,-34.43306,150.8831,East Asia and the Pacific,NA,NA
Bournemouth,City,United Kingdom,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melbourne,City,Australia,AUS,151176,36.2,Victoria,NA,Carbonn2019;GlobalCovenantofMayors2019;C40Cities2019;CDPCities2018;NAZCA,-37.81361111,144.9630556,East Asia and the Pacific,4848127,2010
KwaDukuza,City,South Africa,ZAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calgary, AB",City,Canada,CAN,1246231,586.08,Alberta,Rocky View and Foothills,CDPCities2018;Carbonn2019;NAZCA,51.0486,-114.071,North America,11871100,1990
Kampala,City,Uganda,UGA,1517000,176,Central Region,Uganda,GlobalCovenantofMayors2019;Carbonn2019;NAZCA,0.3177137,32.5813539,Sub-Saharan Africa,1594796,2014
Trondheim,City,Norway,NOR,185000,321.81,TrÃ¸ndelag,Trondheim Region,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,63.42972,10.39333,Europe,370516.1,1991
"Aspen, CO",City,United States of America,USA,8427,10.0491612,Colorado,"Pitkin County, CO",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;Carbonn2019;GlobalCovenantofMayors2019;NAZCA,39.195,-106.8369444,North America,380471,2004
"Pittsburgh, PA",City,United States of America,USA,305704,151.1,Pennsylvania,"Allegheny County, PA",CDPCities2018;Under2Coalition2019;GlobalCovenantofMayors2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;NAZCA,40.4406,-79.9959,North America,5987870,2003
Skövde,City,Sweden,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mornington Peninsula Shire,City,Australia,AUS,144608,723.1,Victoria,Melbourne,GlobalCovenantofMayors2019;Carbonn2019;NAZCA,-38.3310299,145.0820095,East Asia and the Pacific,NA,NA
Espoo,City,Finland,FIN,279044,528.14,Uusimaa,Greater Helsinki,Carbonn2019;EUCovenantofMayors2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,60.20555556,24.65555556,Europe,1055027,1990
"Sonoma, CA",City,United States,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somerville, MA",City,United States,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glasgow,City,United Kingdom,GBR,612000,175,Scotland,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,55,-4,Europe,NA,NA
"Cleveland, OH",City,United States of America,USA,389521,213.6,Ohio,"Cuyahoga County, OH",Carbonn2019;ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;CDPCities2018;GlobalCovenantofMayors2019;NAZCA,41.48222222,-81.66972222,North America,12910872,2010
"Medford, MA",City,United States of America,USA,57797,20.978919,Massachusetts,"Middlesex County, MA",CDPCities2018;GlobalCovenantofMayors2019;ClimateMayors;NAZCA,42.3265,-122.876,North America,465879,2015
Reykjavík,City,Iceland,ISL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tokyo,City,Japan,JPN,13929286,2122,Tokyo Metropolis,Honshu,Carbonn2019;C40Cities2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,35.68333,139.6833,East Asia and the Pacific,NA,NA
Buenos Aires,City,Argentina,ARG,2890151,203,NA,Argentina,CDPCities2018;Carbonn2019;C40Cities2019;GlobalCovenantofMayors2019;NAZCA,-34.6037,-58.3816,Latin America and Caribbean,NA,NA
Belo Horizonte,City,Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,City,Singapore,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas, TX",City,United States of America,USA,1281000,999.218142,Texas,"Dallas County, TX",ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;NAZCA,32.775833,-96.796667,North America,NA,NA
"Boulder County, CO",City,United States of America,USA,322226,1917,Colorado,NA,CDPCities2018;NAZCA,40.15,-105.5,North America,5021236,2005
Santiago,City,Chile,CHL,311415,22,NA,NA,Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;Under2Coalition2019;C40Cities2019;NAZCA,-33.45,-70.66666667,Latin America and Caribbean,NA,NA
"Erie County, NY",City,United States of America,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indianapolis, IN",City,United States of America,USA,864711,936.3072849,Indiana,"Marion County, IN",GlobalCovenantofMayors2019;WeAreStillIn2019;CDPCities2018;NAZCA,39.768403,-86.158068,North America,NA,NA
"Burlington, VT",City,United States of America,USA,42239,34.74471585,Vermont,New England,ClimateMayors;WeAreStillIn2019;Carbonn2019;GlobalCovenantofMayors2019;WeAreStillIn2019;NAZCA,44.475833,-73.211944,North America,NA,NA
"Sacramento, CA",City,United States of America,USA,495234,259.2839,California,"Sacramento County, CA",Under2Coalition2019;CDPCities2018;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;NAZCA,38.55555556,-121.4688889,North America,NA,2005
"Albany, NY",City,United States of America,USA,98566,55.3998861,New York State,"Albany County, NY",GlobalCovenantofMayors2019;CDPCities2018;ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;NAZCA,42.6511674,-73.7549679,North America,NA,NA
