"city","environmental_factor","economic_factor"
"Alameda",2.04809264494137,-0.408798485837059
"Amman",1.23963940762502,-0.504608460236912
"Arzana",-0.179347201636815,-0.13346919997448
"Auckland",0.258281784209431,-1.12834317805216
"BCP.Council",1.16278883780428,-0.334805576241141
"Bagnoli.di.Sopra",0.421184661815902,-0.702193769477445
"Barcelona",0.999348564870871,-0.385518513232057
"Basso.Sulcis",0.303545303060828,-0.0519045954820543
"Bath...North.East.Somerset",0.0145820949761164,-0.454634943372412
"Belfiore",0.201684865753861,-0.0195782565913825
"Belvì",-0.274825457817082,0.0915360611364848
"Blacksburg",1.03521927837927,0.108034606177239
"Boulder",2.11373777734837,-0.478547748793541
"Bristol",0.513920178422636,-0.507882821525342
"Buenos.Aires",1.25472599468575,-1.33439757057001
"Bursa",1.64206051236675,0.0755013314074223
"Byron.Shire",1.46078337383957,-0.00552382164193279
"Calgary",1.69489758451576,-0.853193664713726
"Cartura",0.266489619505538,-0.600380355849382
"Casalserugo",0.355455461004193,-0.686472595825105
"Cervia",0.25974335728625,-0.0511616411561507
"Columbia",2.1240451673198,-0.0815152899347497
"Columbus",1.88178036371662,-0.4842561930516
"Comunità.pioniera.di.Arborea",0.380741872156611,0.0896457712379505
"Cupertino",-0.0212215295514035,-1.1440849763938
"Dallas",1.87760417572975,-0.0391728187798777
"Dilbeek",-0.138932202602919,-0.0909454594516656
"Durban",1.61954588518894,-0.830662240924836
"Emeryville",1.56959961315796,-0.0225513878845008
"Erie.County",0.372461684040488,-0.485480857750032
"Evanston",2.43384749563567,-0.493755003568297
"Flagstaff",1.24717922622905,-0.55443700062674
"Gela",-0.162165435330288,0.120268210371848
"Genk",0.0291254713909499,-0.939397262659422
"Glasgow",0.550198178390173,-0.946657429697373
"Granze..Pd....Italy",0.262960062807419,-0.570675739162791
"Halifax",0.671019904329369,-0.82726498833714
"Halle",0.251595229924051,-0.0278501689525019
"Hebron",0.351216078145071,-0.1421173113594
"Indianapolis",1.3726852602716,-0.776689947258538
"Joensuu",0.0157978455389605,-0.21462488869942
"Kampala",1.10325293578416,-0.287254537038868
"Kristianstad",0.449231085036369,0.0748446334262885
"KwaDukuza",0.335525026414707,-0.778796092117124
"Lessebo",-0.0124587111679098,0.00498707434874261
"Ljubljana",0.414670167711564,-1.02964921417136
"Loiri.Porto.San.Paolo",0.402281763503054,-0.173040102713197
"Maldegem",-0.277145306947471,-0.918060198291152
"Melbourne",0.521722121424629,0.0453061480480159
"Menjez",0.683158036108422,0.0980824266784592
"Merlara",0.156784231394877,-0.321474146759049
"Mexico.City",1.36433396188163,-0.262276716455168
"Mornington.Peninsula.Shire",2.48746812976704,-1.02800259657725
"New.Bedford",2.02483096693707,-0.85757315445458
"Orebro",0.0652782872837376,-0.265805955826083
"Orlando",1.94610197098703,-0.0707796241259389
"Oulu",-0.271124798400033,-0.0323208123396713
"Palo.Alto",0.688683532349056,-0.782840236420695
"Peñarroya.Pueblonuevo",0.780825267971187,-0.602137558208504
"Providence",1.49081533876268,-0.121543063651909
"Reykjavík",0.167657763749244,-0.80522202718533
"Salt.Lake.City",0.200885930321465,-0.196919285624705
"San.Pietro.Viminario..Pd.",0.250829294079451,-0.59267707389842
"Sant.Anna.Arresi",0.305488554084378,-0.0121695517518993
"Sant.Elena",0.327169494796374,-0.444950177807818
"Sant.urbano",-0.192145240286004,-0.0247252989683332
"Santa.Cruz",1.23516605636145,-0.0590401858118687
"Sarasota",1.97649318080774,-0.633620413196628
"Seulo",0.117295460497939,-0.0500260382723253
"Solesino",0.340714941976711,-0.636939951757767
"Somerville",1.33094906028621,-0.0406738357202979
"St..Louis",1.49313862556513,-0.200955868465879
"Sydney",0.332521329074552,-1.38999761139734
"Tacoma",2.21747125013508,-0.31394791229437
"Tainan",2.6036123779353,-0.833918157857556
"Turku",0.376664333987522,-0.335011022563659
"Vancouver",2.2294852202395,0.0698131862656985
"Villa.Verde",0.0759586995946294,-0.0131612084088242
"Villanova.Tulo",-0.223174070236525,-0.483483152599179
"Villasimius",0.333379073950062,-0.372115765970107
"Wollongong",1.19592962062924,-0.0529001662534161
"Wyndham",0.406306814434378,-0.458145035241701
