"city","environmental_factor","economic_factor"
"Aarhus",-0.374216456113984,-0.267588352134811
"Aberdeenshire",-0.769503660554664,-1.14989103695314
"Acquappesa",-1.01363684768614,-0.0824630614306784
"Albairate",-0.705141342154743,-0.0614029556607397
"Alessano",-0.64343958462939,-0.932731675868639
"Amsterdam",-0.541585204668811,0.0276839718760357
"Andrano",-0.734693325707956,-0.495665629615928
"Aspen",-0.419168263506456,-0.622949408467576
"Balsareny",-0.359176956895464,-0.204115691957011
"Beersel",-0.874511739503337,-1.29098241616774
"Belo.Horizonte",-0.629719065211041,-1.55385135103249
"Bila.Tserkva",-1.14578143898343,-2.51703506793917
"Bolzano",-0.341196519306535,0.104648669846946
"Braslau",-0.96937596483503,-2.63165465056888
"Breda",-0.961959365528649,-1.09151625984247
"Cambridge",-0.685483817736299,-0.396709734367331
"Cape.Town",-0.391262877729961,-0.41805536903102
"Cheremule",-0.564057383355703,-0.331517510261251
"Corsano",-0.786739470704528,-0.809181986649614
"Delft",-1.16647240236312,-2.4764785787401
"Denver",-0.500620341354733,-0.34899926918208
"Edina",-0.841839384723578,0.0527884460774041
"Edmonton",-0.405901063416768,-1.08852415090213
"Eilat.ISRAEL",-0.587943488607459,-0.432602499701069
"Espoo",-0.562108844946398,-0.635251389770265
"Gagliano.del.Capo",-0.689010981160994,-0.878573469529462
"Giave",-0.616455789199523,-0.56077785322105
"Groningen",-0.966742295479562,-0.830447522359272
"Hlybokaje",-1.13520071863303,-2.49335293153789
"Ios..Aegean.Islands.",-0.939242352724616,-1.98865192414758
"Izegem",-0.717014143394749,-2.46807614875288
"Jolanda.di.Savoia",-0.32910645580202,0.0794033724413309
"Kaiserslautern",-1.12486464509617,-0.311530906101717
"Kansas.City",-0.515718981035549,-1.00028707683274
"Knoxville",-0.298904896253321,-1.28354470542043
"Korthi..Aegean.Islands.",-1.17180275196231,-2.03009908985352
"Kozloduy",-1.03857012931803,-2.17924383854223
"Kruibeke",-1.01442406720472,-0.762684615323247
"Kungsbacka",-1.02213851711567,-1.86768623176526
"Kéa..Aegean.Islands.",-0.768758271143179,-2.20062529747628
"La.Puebla.de.Cazalla",-0.678499831398205,-0.977976091285896
"Lipsi..Aagen.Islands.",-0.843185073209143,-2.28593520971573
"Lisbon",-0.814809220861192,-2.36724543066508
"Macerata.Campania",-0.501783851092653,-0.376702201545771
"Monrupino.Repentabor",-0.791529176151359,-1.82067033800615
"Montejícar",-0.643645216488672,-0.626181380210464
"Monteleone.Rocca.Doria",-0.700842647188365,-0.253598505162773
"Morciano.di.Leuca",-0.650905109308319,-0.881998288659464
"Nikopol",-1.20105061624443,-2.38215132712436
"Nilüfer",-0.799059880999881,-0.251808671561027
"Nisyros..Aegean.Islands.",-0.888895580357329,-2.11392628456731
"Paola",-1.00719622599958,-0.0712962278268
"Patù",-0.709072778583713,-0.849224162715941
"Pedro.Abad",-0.628453748728571,-0.350017417355804
"Ringkøbing.Skjern",-0.712867119967386,0.0584466691125462
"Roveredo.In.Piano",-0.65405392743489,-0.243260171273729
"Salve",-0.67152457305327,-0.831527142453441
"San.Carlos",-0.432652534902222,-0.880767162754025
"San.Giorgio.di.Nogaro",-0.488518311913724,-0.604267861977503
"San.Polo.d.Enza",-0.592680359581578,-0.867759797937941
"Santiago",-1.01373910905895,-1.97906284884497
"Sartirana.Lomellina",-0.496717226877325,-0.312261992009687
"Skyros.Island",-0.899677712558004,-1.95000761514125
"Skövde",-1.01266512817786,-1.96494440201443
"Socchieve",-0.828310902605132,0.0670133589046807
"South.Tyneside",-0.853332652964895,-1.35361311919055
"Tilburg",-0.839472393467082,-0.915830886792935
"Toronto",-0.539565888573001,-0.832607754300343
"Trondheim",-1.00425372578371,-1.75268324173309
"Umeå",-0.473361310443721,-0.00645024253531105
"Urbana",-0.725324756031681,-1.94157614468723
"Vaasa",-1.02307909542728,-0.567495362837631
"Villa.Literno",-1.19261277375985,-2.27099802425773
"Vimodrone",-0.401357360678202,-0.0986484911263185
"Vogogna",-0.641913347767618,-1.90559695813412
"Washington.D.C.",-0.749819090706113,-0.093025322064117
"Ærø",-1.28473741879151,0.0121220648347459
