"city","environmental_factor","economic_factor"
"Aalborg",-0.030788122167482,0.993030120792465
"Adelaide",0.608044211803374,0.66999006112326
"Albany",-0.256571087786417,1.17326160849909
"Albertslund",0.289678468738692,0.443808362308615
"Ann.Arbor",1.13699370475567,0.301693966428859
"Asheville",0.978109403592542,1.77911148995158
"Asse",-0.0817201696078145,0.284134608911795
"Atlanta",1.1422070494118,0.327979835826979
"Austin",1.5390729979673,0.39946139838538
"Balti",0.417331863998427,1.01545016730799
"Berkeley",-0.0216858248222977,1.0341973772865
"Berlin",-0.270951835976765,0.404749613728952
"Bornova",-0.0486480521058201,0.354703095727816
"Boston",0.0539306719622952,0.796547744404195
"Boulder.County",1.95420392911901,0.217895150078055
"Budapest",-0.0396999026117692,0.53573220634629
"Burlingame",0.902043843028308,0.324363422196362
"Cajnice",-0.273553528903081,0.234735613086072
"Chicago",1.08049199020556,1.53322710752459
"Cincinnati",2.10883261487255,0.469396450402101
"Cleveland",0.822098611149652,0.639184012910933
"Commune.de.Paliseul",1.00475786251206,0.633203504621713
"Copenhagen",-0.284537294182767,0.554166416562531
"Davis",1.26601146907804,0.449000972463224
"Dublin",1.22714245976077,0.656854620131217
"Dundee",0.827865854398804,0.123701138088117
"Durbuy",1.04768560480841,0.530277371548182
"Eau.Claire",1.24446501935149,1.27482496265521
"Elsinore",0.403297503664794,0.272538639940949
"Eugene",1.67541531788768,0.742432432373383
"Fort.Collins",1.18973507770371,0.417666272425387
"Frederikshavn",-0.158403138349373,0.556497498842562
"Guelph",0.23429222565408,0.440230475308817
"Hanau",0.00568807899073099,1.31571046485223
"Hayward",1.33070848556804,0.315425724269918
"Herbeumont",1.01911101326667,0.609868013407023
"Hong.Kong",1.36561187056076,0.462157473961534
"Houston",1.75249240297729,0.557480292153741
"Landen",-0.0646922578491781,0.687345407599764
"Lennik",0.28879937922678,0.797252081548932
"Liedekerke",-0.190667142927726,0.693319659324838
"Linter",0.0323330625381541,0.440441549798569
"Los.Angeles",2.17911630033799,0.13207819826332
"Louisville",0.617896073691927,0.819092094249548
"Medford",-0.0327374680052449,0.782515565948263
"Mississauga",1.27106588416907,0.906102934642186
"Nablus",0.0938411662417947,0.258624900698207
"Nevele",0.145430119832916,1.10299622564454
"New.Orleans",1.41003101505188,0.324907962399552
"New.York.City",0.621885158740008,0.645495077789931
"Oslo",-0.185560751011932,0.180717040599016
"Oxford",0.786814090311626,1.08847360384428
"Palma",-0.26845370671868,1.30306284442643
"Paris",1.42491755618059,0.387363807078191
"Piedmont",1.14732867838766,0.639021533044454
"Pittsburgh",2.26299834013124,0.356147667708031
"Plymouth",0.0171997131763251,0.233903888835557
"Portland",1.89655751557845,0.304207695228115
"Riner",0.251111016557179,0.25744934723505
"Sacramento",0.995318151829141,0.385295210072104
"San.Francisco",2.58162486806943,0.570394767597779
"San.José",0.402157813261587,1.69881791397319
"Saskatoon",0.19922436554704,0.881149063057748
"Serre",-0.0105873015611769,0.37302379929486
"Singapore",-0.103469873187363,0.899067101919339
"Sonoma",1.78614167424851,0.589707119356632
"Stockholm",-0.0525573017554908,0.709440253746361
"Sønderborg",-0.271213864723806,1.07314096345558
"Tampere",0.0700550499469762,0.458321698793233
"Tokyo",1.00847836299389,0.704424614094176
"Tulkarm",0.0819366854365544,0.122003611170004
"Uppsala",1.0001830908363,0.160508948950015
"Victoria",0.877571040186972,0.786946505921064
"Ville.de.Nivelles",0.188948971458139,0.951812534239305
"Västervik",0.983670433414195,0.297015832232589
"Wezembeek.Oppem",0.0791494346303892,0.782605577684722
"Winnipeg",1.65057993069941,0.672562562083488
