name,entity_type,country,iso,population,area,state,admin_1,initiatives_committed,lat,lng,region,baseline_emissions,baseline_year,net_zero_target_status,percent_reduction,target_year
"Cincinnati, OH",City,United States of America,USA,298550,206.01,Ohio,"Hamilton County, OH",GlobalCovenantofMayors2019;WeAreStillIn2019;CDPCities2018;ClimateMayors;WeAreStillIn2019;Carbonn2019;NAZCA,39.103118,-84.51202,North America,9300000,2006,1,84,2050
"St. Catharines, ON",City,Canada,CAN,131400,378.68,Ontario,Niagara,CDPCities2018;GlobalCovenantofMayors2019;NAZCA,43.1594,-79.2469,North America,NA,1990,"1,2,4",80,2050
"Flagstaff, AZ",City,United States of America,USA,71459,167.6759526,Arizona,"Coconino County, AZ",ClimateMayors;Carbonn2019;CDPCities2018;GlobalCovenantofMayors2019;NAZCA,35.199167,-111.631111,North America,826270.2,2016,"1,4",80,2050
"Edina, MN",City,United States of America,USA,51958,3.3928869,Minnesota,"Hennepin County, MN",ClimateMayors,44.895556,-93.354722,North America,NA,NA,"1,4",80,2050
Saskatoon,City,Canada,CAN,272200,NA,NA,NA,ICLEI - Local Governments for Sustainability;CDPCities2018-2019;CDPCities2019,52.1332,-106.67,North America,3852171,2014,"1,4",80,2050
"Orlando, FL",City,United States of America,USA,269193,1690.3,Florida,"Orange County, FL",WeAreStillIn2019;GlobalCovenantofMayors2019;Under2Coalition2019;ClimateMayors;WeAreStillIn2019;NAZCA,28.54,-81.38,North America,7408100,2007,"1,2,4",90,2040
"Blacksburg, VA",City,United States of America,USA,44563,51.0746028,Virginia,"Montgomery County, VA",GlobalCovenantofMayors2019;Carbonn2019;CDPCities2018;ClimateMayors;NAZCA,37.2296566,-80.4136766,North America,276411,1990,"1,2,4",80,2050
"Berkeley, CA",City,United States of America,USA,122234,27.1171953,California,"Alameda County, CA",ClimateMayors;WeAreStillIn2019;Carbonn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;NAZCA,37.871667,-122.272778,North America,728425,2000,"1,2,4",80,2050
"Cupertino, CA",City,United States of America,USA,60777,29.2927869,California,San Francisco Bay Area,CDPCities2018;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;WeAreStillIn2019;Carbonn2019;NAZCA,37.323,-122.032,North America,307288,2010,"1,4",83,2050
Uppsala,City,Sweden,SWE,217000,2234,Uppland,NA,Carbonn2019;CDPCities2018;NAZCA,59.85806,17.64472,Europe,1446000,1990,"1,2,4",90,2040
"Burlingame, CA",City,United States of America,USA,30301,2.3050911,California,"San Mateo County, CA",ClimateMayors,37.583333,-122.363611,North America,NA,NA,"1,4",80,2050
Paris,City,France,FRA,2265886,NA,ÃŽle-de-France,NA,CDPCities2018;C40Cities2019;GlobalCovenantofMayors2019;Carbonn2019;EUCovenantofMayors2019;NAZCA,48.8566,2.35222,Europe,28200000,2004,"1,4",80,2050
