name,iso,net_zero_target_status,entity_type,country,coordinator_name,support_type
Peñarroya-Pueblonuevo,ESP,"2,4",City,Spain,Consejería de Medio Ambiente y Ordenación del Territorio Junta de Andalucía,Coordinator
Frankenthal,DEU,"1,4",City,Germany,NA,NA
Belfiore,ITA,4,City,Italy,NA,NA
Belvì,ITA,"1,4",City,Italy,Region of Sardinia,Coordinator
Kortenaken,BEL,"2,4",City,Belgium,Interleuven,Coordinator
Kortenaken,BEL,"2,4",City,Belgium,Provincie Vlaams-Brabant,Coordinator
Valtorta,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Valtorta,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Palma,ESP,4,City,Spain,Balearic Islands Government,Coordinator
Sartirana Lomellina,ITA,"1,4",City,Italy,NA,NA
Dénia,ESP,"1,4",City,Spain,Province of Alicante,Coordinator
Senigallia,ITA,"2,4",City,Italy,Regione Marche - SVIM,Coordinator
Braslau,BLR,"1,4",City,Belarus,NA,NA
Kozloduy,BGR,"1,2,4",City,Bulgaria,NA,NA
Ornica,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Ornica,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Dossena,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Dossena,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Macerata,ITA,"2,4",City,Italy,Regione Marche - SVIM,Coordinator
Nablus,PSE,4,City,Palestine,NA,NA
Carona,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Carona,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
"Birmingham, UK",GBR,"1,2,4",City,United Kingdom,Energy Saving Trust,Coordinator
Bila Tserkva,UKR,"2,4",City,Ukraine,"Association 'Energy Efficient Cities of Ukraine', UA",Supporter
Bila Tserkva,UKR,"2,4",City,Ukraine,Kyiv Regional State Administration,Coordinator
Albertslund,DNK,"1,2,4",City,Denmark,NA,NA
Halle,BEL,"1,4",City,Belgium,Provincie Vlaams-Brabant,Coordinator
Tirana,ALB,"1,4",City,Albania,NA,NA
Frederikshavn,DNK,"1,4",City,Denmark,NA,NA
Vaasa,FIN,"1,4",City,Finland,NA,NA
Aberdeenshire,GBR,"2,4",City,United Kingdom,"Convention of Scottish Local Authorities, GB",Supporter
Aberdeenshire,GBR,"2,4",City,United Kingdom,Energy Saving Trust,Coordinator
Münster,IRL,"1,4",City,Ireland,NA,NA
Genk,BEL,4,City,Belgium,Province of Limburg,Coordinator
Menjez,LBN,4,City,Lebanon,NA,NA
Berlin,DEU,"1,2,4",City,Germany,"Climate Alliance, DE",Supporter
Leuven,BEL,"1,4",City,Belgium,Interleuven,Coordinator
Leuven,BEL,"1,4",City,Belgium,Provincie Vlaams-Brabant,Coordinator
Macerata Campania,ITA,4,City,Italy,"A.N.E.A - Neapolitan Agency for Energy and the Environment, IT",Supporter
Macerata Campania,ITA,4,City,Italy,Province of Caserta,Coordinator
Serre,ITA,"1,2,4",City,Italy,Province of Salerno,Coordinator
Leeds,GBR,"1,4",City,United Kingdom,NA,NA
Vantaa,FIN,"2,4",City,Finland,NA,NA
Offida,ITA,"2,4",City,Italy,Regione Marche - SVIM,Coordinator
Hebron,PSE,4,City,Palestine,NA,NA
Nilüfer,TUR,4,City,Turkey,NA,NA
Tilburg,NLD,"1,4",City,Netherlands,NA,NA
Kungsbacka,SWE,"1,4",City,Sweden,"The Climate Municipalities (Sweden - Klimatkommunerna), SE",Supporter
Jurmala,LVA,4,City,Latvia,NA,NA
Villasimius,ITA,"2,4",City,Italy,NA,NA
South Tyneside,GBR,4,City,United Kingdom,NA,NA
Nikopol,UKR,"1,4",City,Ukraine,"Association 'Energy Efficient Cities of Ukraine', UA",Supporter
Nikopol,UKR,"1,4",City,Ukraine,Dnipropetrovsk Regional Council,Coordinator
Liedekerke,BEL,4,City,Belgium,Provincie Vlaams-Brabant,Coordinator
Delft,NLD,"1,4",City,Netherlands,NA,NA
Villanova Tulo,ITA,"1,4",City,Italy,NA,NA
Bagnolo San Vito,ITA,"2,4",City,Italy,NA,NA
Gorga,ESP,"1,4",City,Spain,Province of Alicante,Coordinator
Jolanda di Savoia,ITA,"1,2,4",City,Italy,Province of Ferrara,Coordinator
Jolanda di Savoia,ITA,"1,2,4",City,Italy,Regione Emilia-Romagna,Coordinator
Luleå,SWE,"1,4",City,Sweden,County council of Norrbotten,Coordinator
Hannover,DEU,"1,4",City,Germany,"Climate Alliance, DE",Supporter
Paola,ITA,"1,4",City,Italy,Energia Calabria Network,Coordinator
Teulada,ESP,"1,4",City,Spain,Province of Alicante,Coordinator
Fontanafredda,ITA,"2,4",City,Italy,Region of Friuli Venezia Giulia,Coordinator
Balsareny,ESP,4,City,Spain,"Xarxa de Ciutats i Pobles cap a la Sostenibilitat (Network of Cities and Towns towards Sustainibilty), ES",Supporter
Balsareny,ESP,4,City,Spain,Province of Barcelona,Coordinator
Dilbeek,BEL,4,City,Belgium,Provincie Vlaams-Brabant,Coordinator
Isola D’Elba,ITA,"2,4",City,Italy,Province of Livorno,Coordinator
Haarlem,NLD,4,City,Netherlands,Rijkswaterstaat,Coordinator
Izegem,BEL,"1,4",City,Belgium,NA,NA
Bolzano,ITA,4,City,Italy,"Climate Alliance Italy, IT",Supporter
Hanau,DEU,"1,4",City,Germany,"Climate Alliance, DE",Supporter
Mezzoldo,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Mezzoldo,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Sant'Elena,ITA,"1,4",City,Italy,Province of Padova,Coordinator
Loiri Porto San Paolo,ITA,"1,4",City,Italy,NA,NA
Basso Sulcis,ITA,"1,2,4",City,Italy,Region of Sardinia,Coordinator
Tàrbena,ESP,"1,4",City,Spain,Province of Alicante,Coordinator
Bornova,TUR,"2,4",City,Turkey,NA,NA
