name,iso,dev_develping,region
Wezembeek-Oppem,BEL,developed,Europe
"Winnipeg, MB",CAN,developed,North America
Alessano,ITA,developed,Europe
Amsterdam,NLD,developed,Europe
Andrano,ITA,developed,Europe
Auckland,NZL,developed,East Asia and the Pacific
Bagnolo San Vito,ITA,developed,Europe
Balsareny,ESP,developed,Europe
Bath & North East Somerset,GBR,developed,Europe
BCP Council,GBR,developed,Europe
Belo Horizonte,BRA,developing,Latin America and Caribbean
Bila Tserkva,UKR,developed,Eastern Europe and Central Asia
Bornova,TUR,developed,Eastern Europe and Central Asia
"Boulder County, CO",USA,developed,North America
"Burlington, VT",USA,developed,North America
Bursa,TUR,developed,Eastern Europe and Central Asia
Cape Town,ZAF,developing,Sub-Saharan Africa
Cervia,ITA,developed,Europe
"Columbus, OH",USA,developed,North America
Corsano,ITA,developed,Europe
"Dallas, TX",USA,developed,North America
"Davis, CA",USA,developed,North America
Dundee,GBR,developed,Europe
"Eau Claire, WI",USA,developed,North America
"Edmonton, AB",CAN,developed,North America
"Erie County, NY",USA,developed,North America
Fermo,ITA,developed,Europe
Gagliano del Capo,ITA,developed,Europe
Gela,ITA,developed,Europe
Genk,BEL,developed,Europe
Hebron,PSE,developing,Middle East and North Africa
Hlybokaje,BLR,developed,Eastern Europe and Central Asia
Kampala,UGA,developing,Sub-Saharan Africa
KwaDukuza,ZAF,developing,Sub-Saharan Africa
Las Torres de Cotillas,ESP,developed,Europe
Ljubljana,SVN,developed,Europe
Louisiana,USA,developed,North America
Macerata,ITA,developed,Europe
Maltepe,TUR,developed,Eastern Europe and Central Asia
Mantova,ITA,developed,Europe
Mexico City,MEX,developing,Latin America and Caribbean
Monistrol de Calders,ESP,developed,Europe
Morciano di Leuca,ITA,developed,Europe
Moura,PRT,developed,Europe
Nablus,PSE,developing,Middle East and North Africa
"New Orleans, LA",USA,developed,North America
Offida,ITA,developed,Europe
"Oxford, UK",GBR,developed,Europe
Pantelleria,ITA,developed,Europe
Paola,ITA,developed,Europe
"Piedmont, CA",USA,developed,North America
"Plymouth, UK",GBR,developed,Europe
Pollina,ITA,developed,Europe
Saint-Nicolas,BEL,developed,Europe
Salve,ITA,developed,Europe
"San Carlos, CA",USA,developed,North America
Santa Maria Nuova,ITA,developed,Europe
Santiago,CHL,developing,Latin America and Caribbean
Senigallia,ITA,developed,Europe
Tainan,TWN,developing,East Asia and the Pacific
Tokyo,JPN,developed,East Asia and the Pacific
Toronto,CAN,developed,North America
Tulkarm,PSE,developing,Middle East and North Africa
Unione dei Comuni NET (Nord Est Torino),ITA,developed,Europe
Urbino,ITA,developed,Europe
Västervik,SWE,developed,Europe
Villasimius,ITA,developed,Europe
Ville de Nivelles,BEL,developed,Europe
Vogogna,ITA,developed,Europe
Wollongong,AUS,developed,East Asia and the Pacific
